title;community
Active Learning for Matching Problems;grupo 104
Regret-based Reward Elicitation for Markov Decision Processes;grupo 104
Approximate Linear Programming for First-order MDPs;grupo 104
Modal Logics for Qualitative Possibility and Beliefs;grupo 104
The Probability of a Possibility: Adding Uncertainty to Default Rules;grupo 104
Structured Arc Reversal and Simulation of Dynamic Probabilistic Networks;grupo 104
A Framework for Optimizing Paper Matching;grupo 104
Correlated Action Effects in Decision Theoretic Regression;grupo 104
Approximately Optimal Monitoring of Plan Preconditions;grupo 104
UCP-Networks: A Directed Graphical Representation of Conditional Utilities;grupo 104
Toward Experiential Utility Elicitation for Interface Customization;grupo 104
Integrating Planning and Execution in Stochastic Domains;grupo 104
Vector-space Analysis of Belief-state Approximation for POMDPs;grupo 104
Practical Linear Value-approximation Techniques for First-order MDPs;grupo 104
Value-Directed Sampling Methods for POMDPs;grupo 104
Minimax regret based elicitation of generalized additive utilities;grupo 104
Value-Directed Belief State Approximation for POMDPs;grupo 104
Accelerating EM: An Empirical Study;grupo 104
CAPIR: Collaborative Action Planning with Intention Recognition;grupo 104
Learning Probabilistic Relational Dynamics for Multiple Tasks;grupo 104
Adaptive Importance Sampling for Estimation in Structured Domains;grupo 104
Deliberation Scheduling for Time-Critical Sequential Decision Making;grupo 104
Using First-Order Probability Logic for the Construction of Bayesian Networks;grupo 104
Using New Data to Refine a Bayesian Network;grupo 104
Using Causal Information and Local Measures to Learn Bayesian Networks;grupo 104
Probability Distributions Over Possible Worlds;grupo 104
Solving #SAT and Bayesian Inference with Backtracking Search;grupo 104
A logic for reasoning about ambiguity;grupo 104
Weighted Sets of Probabilities and Minimax Weighted Expected Regret: New Approaches for Representing Uncertainty and Making Decisions;grupo 104
Probability Update: Conditioning vs. Cross-Entropy;grupo 104
Defining Explanation in Probabilistic Systems;grupo 104
A New Approach to Updating Beliefs;grupo 104
Ambiguous Language and Differences in Beliefs;grupo 104
Causes and Explanations: A Structural-Model Approach --- Part 1: Causes;grupo 104
Hierarchical POMDP Controller Optimization by Likelihood Maximization;grupo 104
Comparative Analysis of Probabilistic Models for Activity Recognition with an Instrumented Walker;grupo 104
A Case Study in Knowledge Discovery and Elicitation in an Intelligent Tutoring Application;grupo 104
Sensor Validation Using Dynamic Belief Networks;grupo 104
General-Purpose MCMC Inference over Relational Structures;grupo 104
Representation Requirements for Supporting Decision Model Formulation;grupo 104
Representing Context-Sensitive Knowledge in a Network Formalism: A Preliminary Report;grupo 104
Bootstrapping Monte Carlo Tree Search with an Imperfect Heuristic;grupo 104
Probabilistic Causal Reasoning;grupo 104
Model Reduction Techniques for Computing Approximately Optimal Solutions for Markov Decision Processes;grupo 104
Multiple models of Bayesian networks applied to offline recognition of Arabic handwritten city names;grupo 116
Etude de Modeles a base de reseaux Bayesiens pour l'aide au diagnostic de tumeurs cerebrales;grupo 116
Use of Fuzzy Sets in Semantic Nets for Providing On-Line Assistance to User of Technological Systems;grupo 116
On the Qualitative Comparison of Decisions Having Positive and Negative Features;grupo 116
Constraint Propagation with Imprecise Conditional Probabilities;grupo 116
Modeling uncertain and vague knowledge in possibility and evidence theories;grupo 116
A Symbolic Approach to Reasoning with Linguistic Quantifiers;grupo 116
A fuzzy relation-based extension of Reggia's relational model for diagnosis handling uncertain and incomplete information;grupo 116
Argumentative inference in uncertain and inconsistent knowledge bases;grupo 116
Updating with Belief Functions, Ordinal Conditioning Functions and Possibility Measures;grupo 116
Decision-making Under Ordinal Preferences and Comparative Uncertainty;grupo 116
An Ordinal View of Independence with Application to Plausible Reasoning;grupo 116
Graphical readings of possibilistic logic bases;grupo 116
A Principled Analysis of Merging Operations in Possibilistic Logic;grupo 116
Compiling Possibilistic Networks: Alternative Approaches to Possibilistic Inference;grupo 116
Loopy Belief Propagation in Bayesian Networks : origin and possibilistic perspectives;grupo 116
On Modal Logics for Qualitative Possibility in a Fuzzy Setting;grupo 116
Combining Multiple-Valued Logics in Modular Expert Systems;grupo 116
A Complete Calculus for Possibilistic Logic Programming with Fuzzy Propositional Variables;grupo 116
Optimization of Fuzzy Semantic Networks Based on Galois Lattice and Bayesian Formalism;grupo 116
Fuzzy Knowledge Representation, Learning and Optimization with Bayesian Analysis in Fuzzy Semantic Networks;grupo 116
Softening Fuzzy Knowledge Representation Tool with the Learning of New Words in Natural Language;grupo 116
Uncertain and Approximative Knowledge Representation to Reasoning on Classification with a Fuzzy Networks Based System;grupo 116
Possibilistic Pertinence Feedback and Semantic Networks for Goal's Extraction;grupo 116
Pertinent Information retrieval based on Possibilistic Bayesian network : origin and possibilistic perspective;grupo 116
ViQIE: A New Approach for Visual Query Interpretation and Extraction;grupo 116
Fuzzy Knowledge Representation Based on Possibilistic and Necessary Bayesian Networks;grupo 116
VIQI: A New Approach for Visual Interpretation of Deep Web Query Interfaces;grupo 116
A Fuzzy Approach for Pertinent Information Extraction from Web Resources;grupo 116
Relevance Feedback for Goal's Extraction from Fuzzy Semantic Networks;grupo 116
On the Complexity of Decision Making in Possibilistic Decision Trees;grupo 116
Incremental Map Generation by Low Cost Robots Based on Possibility/Necessity Grids;grupo 116
Algorithms for Irrelevance-Based Partial MAPs;grupo 134
Relevant Explanations: Allowing Disjunctive Assignments;grupo 134
Complexity of Canadian Traveler Problem Variants;grupo 134
Belief Updating by Enumerating High-Probability Independence-Based Assignments;grupo 134
Generic Preferences over Subsets of Structured Objects;grupo 134
Selecting Computations: Theory and Applications;grupo 134
Bayes Networks for Sonar Sensor Fusion;grupo 134
A New Algorithm for Finding MAP Assignments to Belief Networks;grupo 134
MCTS Based on Simple Regret;grupo 134
Observation Subset Selection as Local Compilation of Performance Profiles;grupo 134
VOI-aware MCTS;grupo 134
Cost-Sharing in Bayesian Knowledge Bases;grupo 134
A compact, hierarchical Q-function decomposition;grupo 134
Gibbs Sampling in Open-Universe Stochastic Languages;grupo 134
Variational MCMC;grupo 134
Rao-Blackwellised Particle Filtering for Dynamic Bayesian Networks;grupo 134
A temporally abstracted Viterbi algorithm;grupo 134
Fine-Grained Decision-Theoretic Search Control;grupo 134
Improving Gradient Estimation by Incorporating Sensor Data;grupo 134
Image Segmentation in Video Sequences: A Probabilistic Approach;grupo 134
RAPID: A Reachable Anytime Planner for Imprecisely-sensed Domains;grupo 134
A Bilinear Programming Approach for Multiagent Planning;grupo 134
Policy Iteration for Decentralized Control of Markov Decision Processes;grupo 134
The Complexity of Decentralized Control of Markov Decision Processes;grupo 134
Optimizing Memory-Bounded Controllers for Decentralized POMDPs;grupo 134
Rollout Sampling Policy Iteration for Decentralized POMDPs;grupo 134
Anytime Planning for Decentralized POMDPs using Expectation Maximization;grupo 134
Message-Passing Algorithms for Quadratic Programming Formulations of MAP Estimation;grupo 134
Suboptimality Bounds for Stochastic Shortest Path Problems;grupo 134
A Heuristic Search Approach to Planning with Continuous Resources in Stochastic Domains;grupo 134
Improving the Scalability of Optimal Bayesian Network Learning with External-Memory Frontier Breadth-First Branch and Bound Search;grupo 134
Solving Multistage Influence Diagrams using Branch-and-Bound Search;grupo 134
Sparse Stochastic Finite-State Controllers for POMDPs;grupo 134
Extended Lifted Inference with Joint Formulas;grupo 134
Simple Regret Optimization in Online Planning for Markov Decision Processes;grupo 134
Unstructuring User Preferences: Efficient Non-Parametric Utility Revelation;grupo 134
Online Speedup Learning for Optimal Planning;grupo 134
Incremental Clustering and Expansion for Faster Optimal Planning in Dec-POMDPs;grupo 134
Scalable Planning and Learning for Multiagent POMDPs: Extended Version;grupo 134
IDEAL: A Software Package for Analysis of Influence Diagrams;grupo 134
Integrating Model Construction and Evaluation;grupo 134
Decision-Theoretic Control of Problem Solving: Principles and Architecture;grupo 134
Decision Making with Interval Influence Diagrams;grupo 134
Ideal Reformulation of Belief Networks;grupo 134
A New Look at Causal Independence;grupo 134
Most Relevant Explanation: Properties, Algorithms, and Evaluations;grupo 134
Computationally-Optimal Real-Resource Strategies;grupo 134
Probabilistic Conceptual Network: A Belief Representation Scheme for Utility-Based Categorization;grupo 134
A Structured, Probabilistic Representation of Action;grupo 134
Decision Methods for Adaptive Task-Sharing in Associate Systems;grupo 134
Speeding Up Planning in Markov Decision Processes via Automatically Constructed Abstractions;grupo 145
Improved Mean and Variance Approximations for Belief Net Responses via Network Doubling;grupo 145
Learning Bayesian Nets that Perform Well;grupo 145
Bayesian Error-Bars for Belief Net Inference;grupo 145
A Generalized Loop Correction Method for Approximate Inference in Graphical Models;grupo 145
Training Restricted Boltzmann Machine by Perturbation;grupo 145
PAC-Bayesian Policy Evaluation for Reinforcement Learning;grupo 145
Online Learning under Delayed Feedback;grupo 145
Online Learning in Markov Decision Processes with Adversarially Chosen Transition Probability Distributions;grupo 145
A Randomized Mirror Descent Algorithm for Large Scale Multiple Kernel Learning;grupo 145
Statistical Linear Estimation with Penalized Estimators: an Application to Reinforcement Learning;grupo 145
Analysis of Kernel Mean Matching under Covariate Shift;grupo 145
Apprenticeship Learning using Inverse Reinforcement Learning and Gradient Methods;grupo 145
An Adaptive Algorithm for Finite Stochastic Partial Monitoring;grupo 145
Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping;grupo 145
Planning by Prioritized Sweeping with Small Backups;grupo 145
Off-Policy Actor-Critic;grupo 145
Bayes' Bluff: Opponent Modelling in Poker;grupo 145
Linear Programming for Large-Scale Markov Decision Problems;grupo 145
Hybrid Processing of Beliefs and Constraints;grupo 151
A Scheme for Approximating Probabilistic Inference;grupo 151
AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Weighted Graphical Models;grupo 151
AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Graphical Models;grupo 151
Join-Graph Propagation Algorithms;grupo 151
Modeling Transportation Routines using Hybrid Dynamic Mixed Networks;grupo 151
Bounding Search Space Size via (Hyper)tree Decompositions;grupo 151
Best-First AND/OR Search for Most Probable Explanations;grupo 151
Approximate Inference Algorithms for Hybrid Bayesian Networks with Discrete Constraints;grupo 151
The Relationship Between AND/OR Search and Variable Elimination;grupo 151
AND/OR Importance Sampling;grupo 151
BEEM : Bucket Elimination with External Memory;grupo 151
Cutset Sampling with Likelihood Weighting;grupo 151
Studies in Lower Bounding Probabilities of Evidence using the Markov Inequality;grupo 151
Probabilistic Theorem Proving;grupo 151
Approximation by Quantization;grupo 151
Formula-Based Probabilistic Inference;grupo 151
Efficient Test Selection in Active Diagnosis via Entropy Approximation;grupo 151
Learning Performance of Prediction Markets with Kelly Bettors;grupo 151
Reformulating Inference Problems Through Selective Conditioning;grupo 153
A Bayesian Approach to Tackling Hard Computational Problems;grupo 153
Time-Dependent Utility and Action Under Uncertainty;grupo 153
Utility-Based Abstraction and Categorization;grupo 153
Time-Critical Reasoning: Representations and Application;grupo 153
Perception, Attention, and Resources: A Decision-Theoretic Approach to Graphics Rendering;grupo 153
Conversation as Action Under Uncertainty;grupo 153
Reasoning about the Value of Decision-Model Refinement: Methods and Application;grupo 153
Problem Formulation as the Reduction of a Decision Model;grupo 153
Collaborative Filtering by Personality Diagnosis: A Hybrid Memory- and Model-Based Approach;grupo 153
On Discarding, Caching, and Recalling Samples in Active Learning;grupo 153
A Synthesis of Logical and Probabilistic Reasoning for Program Understanding and Debugging;grupo 153
Dynamic Network Models for Forecasting;grupo 153
Laplace's Method Approximations for Probabilistic Inference in Belief Networks with Continuous Variables;grupo 153
Evaluating influence diagrams with decision circuits;grupo 153
End-User Construction of Influence Diagrams for Bayesian Statistics;grupo 153
Sensitivity analysis in decision circuits;grupo 153
Structural Controllability and Observability in Influence Diagrams;grupo 153
Using Potential Influence Diagrams for Probabilistic Inference and Decision Making;grupo 153
Strictly Proper Mechanisms with Cooperating Players;grupo 153
Mixtures of Gaussians and Minimum Relative Entropy Techniques for Modeling Continuous Uncertainties;grupo 153
A Linear Approximation Method for Probabilistic Inference;grupo 153
Three new sensitivity analysis methods for influence diagrams;grupo 153
Directed Reduction Algorithms and Decomposable Graphs;grupo 153
Three Approaches to Probability Model Selection;grupo 153
A Graph-Based Inference Method for Conditional Independence;grupo 153
Efficient Value of Information Computation;grupo 153
Decision Making Using Probabilistic Inference Methods;grupo 153
Global Conditioning for Probabilistic Inference in Belief Networks;grupo 153
Dynamic programming in in uence diagrams with decision circuits;grupo 153
A Decision-Based View of Causality;grupo 153
A Bayesian Approach to Learning Bayesian Networks with Local Structure;grupo 153
Learning Bayesian Networks: The Combination of Knowledge and Statistical Data;grupo 153
Advances in Probabilistic Reasoning;grupo 153
Similarity Networks for the Construction of Multiple-Faults Belief Networks;grupo 153
Separable and transitive graphoids;grupo 153
Determining the Number of Non-Spurious Arcs in a Learned DAG Model: Investigation of a Bayesian and a Frequentist Approach;grupo 153
A powerful and efficient set test for genetic markers that handles confounders;grupo 153
An Empirical Comparison of Three Inference Methods;grupo 153
Structure and Parameter Learning for Causal Independence and Causal Interaction Models;grupo 153
Dependency Networks for Collaborative Filtering and Data Visualization;grupo 153
Models and Selection Criteria for Regression and Classification;grupo 153
A Combination of Cutset Conditioning with Clique-Tree Propagation in the Pathfinder System;grupo 153
Inference Algorithms for Similarity Networks;grupo 153
Diagnosis of Multiple Faults: A Sensitivity Analysis;grupo 153
Addendum on the scoring of Gaussian directed acyclic graphical models;grupo 153
Continuous Time Dynamic Topic Models;grupo 153
A Decision Theoretic Approach to Targeted Advertising;grupo 153
Learning Gaussian Networks;grupo 153
Causal Independence for Knowledge Acquisition and Inference;grupo 153
Kutato: An Entropy-Driven System for Construction of Probabilistic Expert Systems from Databases;grupo 153
A Bayesian Method for Constructing Bayesian Belief Networks from Databases;grupo 153
A Bayesian Method for Causal Modeling and Discovery Under Selection;grupo 153
An Empirical Analysis of Likelihood-Weighting Simulation on a Large, Multiply-Connected Belief Network;grupo 153
A Method for Using Belief Networks as Influence Diagrams;grupo 153
A Randomized Approximation Algorithm of Logic Sampling;grupo 153
KNET: Integrating Hypermedia and Bayesian Modeling;grupo 153
A Structurally and Temporally Extended Bayesian Belief Network Model: Definitions, Properties, and Modeling Techniques;grupo 153
An Evaluation of an Algorithm for Inductive Learning of Bayesian Belief Networks Usin;grupo 153
A theoretical study of Y structures for causal discovery;grupo 153
Binary Classifier Calibration: Bayesian Non-Parametric Approach;grupo 153
Counting Markov Blanket Structures;grupo 153
Playing games against nature: optimal policies for renewable resource allocation;grupo 153
On the Erdos Discrepancy Problem;grupo 153
Understanding Sampling Style Adversarial Search Methods;grupo 153
Synthesizing Manipulation Sequences for Under-Specified Tasks using Unrolled Markov Random Fields;grupo 153
Algorithm Portfolio Design: Theory vs. Practice;grupo 153
Survey Propagation Revisited;grupo 153
Using Temporal Data for Making Recommendations;grupo 153
Adjacency-Faithfulness and Conservative Causal Inference;grupo 153
Detecting Causal Relations in the Presence of Unmeasured Variables;grupo 153
A Transformational Characterization of Markov Equivalence for Directed Acyclic Graphs with Latent Variables;grupo 153
Semi-Instrumental Variables: A Test for Instrument Admissibility;grupo 153
Causal discovery of linear acyclic models with arbitrary distributions;grupo 153
Discovering Cyclic Causal Models by Independent Components Analysis;grupo 153
Inference for Multiplicative Models;grupo 153
Perfect Tree-Like Markovian Distributions;grupo 153
Maximizing the Spread of Cascades Using Network Design;grupo 153
Time-Critical Dynamic Decision Making;grupo 153
Confounding Equivalence in Causal Inference;grupo 156
On Testing Whether an Embedded Bayesian Network Represents a Probability Model;grupo 156
An Algorithm for Deciding if a Set of Observed Independencies Has a Causal Explanation;grupo 156
Deciding Morality of Graphs is NP-complete;grupo 156
Direct and Indirect Effects;grupo 156
A Probabilistic Calculus of Actions;grupo 156
Identification of Conditional Interventional Distributions;grupo 156
Reasoning With Qualitative Probabilities Can Be Tractable;grupo 156
On the Equivalence of Causal Models;grupo 156
Causal Discovery from Changes;grupo 156
On a Class of Bias-Amplifying Variables that Endanger Effect Estimates;grupo 156
Effects of Treatment on the Treated: Identification and Generalization;grupo 156
From Conditional Oughts to Qualitative Decision Theory;grupo 156
Probabilities of Causation: Bounds and Identification;grupo 156
On the Logic of Causal Models;grupo 156
On Measurement Bias in Causal Inference;grupo 156
Counterfactual Probabilities: Computational Methods, Bounds and Applications;grupo 156
Graphical Condition for Identification in recursive SEM;grupo 156
Incorporating Expressive Graphical Models in Variational Approximations: Chain-Graphs and Hidden Variables;grupo 156
Template Based Inference in Symmetric Relational Markov Random Fields;grupo 156
Sequential Update of Bayesian Network Structure;grupo 156
Convexifying the Bethe Free Energy;grupo 156
Mean Field Variational Approximation for Continuous-Time Bayesian Networks;grupo 156
Multivariate Information Bottleneck;grupo 156
Gaussian Process Networks;grupo 156
Gibbs Sampling in Factorized Continuous-Time Markov Processes;grupo 156
Learning the Dimensionality of Hidden Variables;grupo 156
Dimension Reduction in Singularly Perturbed Continuous-Time Bayesian Networks;grupo 156
Likelihood Computations Using Value Abstractions;grupo 156
Importance Sampling via Variational Optimization;grupo 156
An Entropy-based Learning Algorithm of Bayesian Conditional Trees;grupo 156
Approximation Algorithms for the Loop Cutset Problem;grupo 156
CT-NOR: Representing and Reasoning About Events in Continuous Time;grupo 156
Making life better one large system at a time: Challenges for UAI research;grupo 156
Convergent message passing algorithms - a unifying view;grupo 156
Tightening LP Relaxations for MAP using Message Passing;grupo 156
Convergent Propagation Algorithms via Oriented Trees;grupo 156
Discriminative Learning via Semidefinite Probabilistic Models;grupo 156
What Cannot be Learned with Bethe Approximations;grupo 156
Learning the Experts for Online Sequence Prediction;grupo 156
The Factored Frontier Algorithm for Approximate Inference in DBNs;grupo 156
Latent Topic Models for Hypertext;grupo 156
MAP Estimation, Linear Programming and Belief Propagation with Convex Free Energies;grupo 156
Modeling Events with Cascades of Poisson Processes;grupo 156
Using ROBDDs for Inference in Bayesian Networks with Troubleshooting as an Example;grupo 256
A computational scheme for Reasoning in Dynamic Probabilistic Networks;grupo 256
Making Sensitivity Analysis Computationally Efficient;grupo 256
Nested Junction Trees;grupo 256
Reduction of Computational Complexity in Bayesian Networks through Removal of Weak Dependencies;grupo 256
Sensitivity Analysis for Threshold Decision Making with Dynamic Networks;grupo 256
Pivotal Pruning of Trade-offs in QPNs;grupo 256
Enhancing QPNs for Trade-off Resolution;grupo 256
Computing Probability Intervals Under Independency Constraints;grupo 256
How to Elicit Many Probabilities;grupo 256
The Computational Complexity of Sensitivity Analysis and Parameter Tuning;grupo 256
Learning Bayesian Network Parameters with Prior Knowledge about Context-Specific Qualitative Influences;grupo 256
Pre-processing for Triangulation of Probabilistic Networks;grupo 256
Analysing Sensitivity Data from Probabilistic Networks;grupo 256
aHUGIN: A System Creating Adaptive Causal Probabilistic Networks;grupo 256
Inference in Multiply Sectioned Bayesian Networks with Extended Shafer-Shenoy and Lazy Propagation;grupo 256
Myopic Value of Information in Influence Diagrams;grupo 256
Representing and Solving Asymmetric Bayesian Decision Problems;grupo 256
Welldefined Decision Scenarios;grupo 256
Analysis in HUGIN of Data Conflict;grupo 256
Optimal Junction Trees;grupo 256
The Cost of Troubleshooting Cost Clusters with Inside Information;grupo 256
From Influence Diagrams to Junction Trees;grupo 256
Evaluating Influence Diagrams using LIMIDs;grupo 256
MAIES: A Tool for DNA Mixture Analysis;grupo 256
On reasoning in networks with qualitative uncertainty;grupo 256
Re-entrant Structural Phase Transition in a Frustrated Kagome Magnet, Rb2SnCu3F12;grupo 256
Risk Agoras: Dialectical Argumentation for Scientific Reasoning;grupo 256
Local structure correlations in plastic cyclohexane - a Reverse Monte Carlo study;grupo 256
Approximations in Bayesian Belief Universe for Knowledge Based Systems;grupo 256
Conditions Under Which Conditional Independence and Scoring Methods Lead to Identical Selection of Bayesian Network Models;grupo 256
Propagation using Chain Event Graphs;grupo 256
